id,app_name,version,userid,date,rating,title,text,has_information_giving,has_information_seeking,has_feature_request,has_bug_report,sentiment_score
29,BLINQ,1.5,Micheltook,2014-11-16,1,"WTF with the password?! Bad app, seriously !!",Password problem,0,0,0,0,-1
33,BLINQ,1.5,Playone91,2014-11-03,1,vulnerabilities,please do not install only people ! You can login with Facebook only and everything is released ! And delete that is almost impossible lasts for two weeks !,1,0,1,0,-1
34,BLINQ,1.5,Spahni,2014-10-27,1,The app is not usable. Eternal waiting to release !!! Im still waiting !!! And Im still waiting !!!,Useless,0,0,0,0,-1
35,BLINQ,1.5,marlon235,2014-10-25,5,great app,"Great app with beautiful design! Had to wait a little longer though to be adopted, (two weeks) (the need to have read the current user you evaluate first) which is certainly very attractive users arise pool  was well worth it.",0,0,0,0,1
36,BLINQ,1.5,Spahni,2014-10-20,1,The app is not usable. Eternal waiting to release !!! Im still waiting !!!,Useless,0,0,0,0,-1
37,BLINQ,1.5,dee544,2014-10-09,1,Do not go,"Because I refuse the Facebook hype and an account with no friends did, I can not use the app. So much for privacy .Then halt without me!",0,0,0,0,-1
38,BLINQ,1.5,ITset,2014-10-09,1,unfortunately,unfortunately Application possible only with a Facebook profile! This I did not want and do not have too.,1,0,0,0,-1
40,BLINQ,1.5,Philzphil,2014-10-08,5,top,Super pastime,0,0,0,0,1
41,BLINQ,1.5,Spahni,2014-10-03,1,The app is not usable. Eternal waiting to be released !!!,Useless,0,0,0,0,-1
42,BLINQ,1.4.1,Swiss -JOC,2014-09-28,1,Facebook and many data are required,"There is no way without all admit award. I am not in possession of a Facebook account, so I had an extra create but now I can not get access because I have too few contacts fb ! Hi ! What is the?",0,1,0,0,-1
43,BLINQ,1.4.1,Nikoking90,2014-09-28,5,top,Super App,0,0,0,0,1
44,BLINQ,1.4.1,Warrior2070,2014-09-14,1,very bad for days on waiting for the code.,Very bad for days on waiting for the code.,0,0,0,0,-1
46,BLINQ,1.4.1,BnC_18,2014-09-02,1,ðŸ‘ŽðŸ‘ŽðŸ‘Ž,waiting for days for because passcode and keep getting anything yet !,0,0,0,1,-1
47,BLINQ,1.4.1,vsicher,2014-08-28,5,simple and good,if only every app would be so simple Possibly. a function to install the latest his or yes irreversible. Can happen that you caught the wrong button ! Otherwise Top,1,0,1,0,1
48,BLINQ,1.4.1,Borusse20380,2014-08-16,1,Needless,one needs necessarily a Facebook account to be able to use this app. Since I have no back down with the app,1,0,0,0,-1
49,BLINQ,1.4.1,Fujens,2014-08-14,5,"Simple, just awesome","Simple, well implemented",0,0,0,0,1
50,BLINQ,1.4.1,Hoproster,2014-08-11,5,fresh and simple,as is so often a smart concept and a very easy to use is simply the best mixture. In addition,1,0,0,0,1
51,BLINQ,1.4,shadow_124,2014-07-28,1,2 weeks on ... wait,"the selection by Facebook login and community is really visible! Now wait Bin for weeks on until I in the added select circle Yes . From Support I need not write. They probably for some time. Was you have other people pay, they give off you any good evaluation? And anyway . What is the garbage with the admissions process? How specifically are you now not.",1,1,1,0,-1
52,BLINQ,1.3,LoLeduc,2014-07-26,1,So a drecks app !! Wait now already more than 3 months on the recording! Useless !!!,Worst app ever !,0,0,0,0,-1
53,BLINQ,1.4,vany bunny,2014-07-23,4,super,super idea with beautiful design,1,0,0,0,1
54,BLINQ,1.3,marlon235,2014-07-18,5,great app,"Great app with beautiful design! Had to wait a little longer though to be adopted, two weeks .The need to have read the current user you evaluate first which is certainly very attractive users arise pool  was well worth it.",0,0,1,0,1
55,BLINQ,1.3,Supagunzi,2014-07-13,5,Tip Top,"Super people here have, exclusively made only good experience ",0,0,0,0,1
56,BLINQ,1.3,Gr user 33,2014-07-08,1,Very poor service,waiting and waiting and waiting .you will not be included as members for days. Very poor customer service. The postiven reviews most likely fake. Delete app again.,0,0,0,0,-1
57,BLINQ,1.3,Cinderella725,2014-06-12,5,just great !!,The app is very well done simple and straightforward to use! Have seen many cool people know!,1,0,0,0,1
58,BLINQ,1.3,Unkekannt,2014-06-12,5,Love the appðŸ˜ƒðŸŽ‰ðŸ™ŒðŸ‘¯âœ¨,Perfect!,0,0,0,0,1
59,BLINQ,1.3,shadow_124,2014-05-28,1,2 weeks waiting on ...,"I am now waiting for two weeks at a time, until I in the added select circle Yes . From the support I need not write. They probably for some time .Was you have other people pay, they give off you any good evaluation? And anyway . What is the waste of the recording process? How specifically are you now neither.",1,1,1,0,-1
60,BLINQ,1.2.1,Maurizio707,2014-05-02,1,Bad ðŸ‘Ž,"app downloaded more than one month or logged profile has not yet been activated, contact Support no answer, have written three times.",0,0,0,0,-1
61,BLINQ,1.3,Don Patrizio,2014-04-16,1,unlock,"waiting since .Support lousy, not responding",0,0,0,0,-1
62,BLINQ,1.3,Fr34k99,2014-04-10,1,unlock,lasted for three weeks.,0,0,0,0,-1
63,BLINQ,1.3,Luthisl,2014-04-09,5,"Cool app, to meet new people.",Great app,0,0,0,0,1
64,BLINQ,1.2,Emanuel Steiner,2014-04-04,5,"Did Although have to wait 7 days on my cut-off, but was worth it. Here hats people not with style as with many other apps ... ..",Finally good people,0,0,0,0,1
65,BLINQ,1.3,Luthisl,2014-03-30,5,get to know new people Cool app.,Great app,0,0,0,0,1
68,BLINQ,1.3,elias92,2014-03-23,4,Funny,Top,0,0,0,0,1
69,BLINQ,1.3,Ckhobi,2014-03-23,5,The app has its charm by the fact that everything happens without obligation. The people that you can meet make a relatively serious impression and everything else you yourself in the hand ...,Once uncomplicated .,0,0,0,0,1
70,BLINQ,1.3,L-P86,2014-03-22,5,Excellent app,Its a great and fun app ! Try it out!,0,0,0,0,1
71,BLINQ,1.3,OrlandoTemperli,2014-03-22,5,"Practical, great design, nice people! What more could you want?",Cool app,0,0,0,0,1
72,BLINQ,1.3,Fabiola822,2014-03-22,5,just great,this app makes in day there.,0,0,0,0,1
73,BLINQ,1.3,Jesse of Death,2014-03-22,4,"Far better than the whole Badoo handling ago, a surprising number of attractive people in there, yet. Unstable in all corners of the main parts are no is other users found in some places you will simply be logged out weggedrÃ¼ckte persons appear again in the feed. Reminiscent of Frustration Level ago on Flappy Bird, where you can also go back here often because you can not believe it last time went and convinced so wrong that it will now work out. Bottom line, but 4 stars, so there are more downloads and the bugs are fixed hopefully faster and more efficiently.",So funny,1,0,1,1,1
74,BLINQ,1.3,Nikoking90,2014-03-21,5,top,Super App,0,0,0,0,1
76,BLINQ,1.2.1,cloud cloud,2014-03-11,2,review the profile not transparent,rather uncool the app,0,0,1,0,-1
77,BLINQ,1.2.1,Alisho,2014-02-23,5,Genial !!,"find the app awesome ! First, through the evaluation of the new user, the high number of fake profiles as is customary in other such Apps , prevents and secondly you have a super mix by ! The release was not even a day !",0,0,1,0,-1
78,BLINQ,1.2,melbic,2014-02-20,5,Gfbvhh,Super App,0,0,0,0,1
79,BLINQ,1.2.1,Ljuu,2014-02-12,5,Suuuuper !!!!,Genial !,0,0,0,0,1
80,BLINQ,1.2.1,Staeli,2014-01-21,1,shit app,shit app,0,0,0,0,-1
81,BLINQ,1.2,$ t â‚¬â‚¬ v â‚¬,2014-01-13,1,"Now Ive been waiting two weeks That can not be true! Miserably! When I am finally received, I write to hire a new review, if I have the app to then not deleted ..!",wait,1,0,0,0,-1
82,BLINQ,1.2,Flfudzn rxns,2014-01-11,3,"Good app, but the distance information are very inaccurate (distances much less than in reality (both air and actual distance, whatever it is supposed to be) Please adjust absolutely! Thank you",distance,0,0,1,1,0
83,BLINQ,1.2,Hugoprimero,2013-12-29,5,"Cool people, cool design. Really fun!",Super App,1,0,0,0,1
84,BLINQ,1.2,moooonandstars,2013-12-29,5,the wait was worth it. Very well-done app!,Great App,0,0,0,0,1
85,BLINQ,1.2,Deniseiseise,2013-12-24,5,Coole community with very open people. Try it!,Cool Community,1,0,0,0,1
86,BLINQ,1.2,mÃ¤kkkkkkki,2013-12-24,5,Get," power had to wait a few days, but was worth it. Super App Fun",0,0,0,0,1
87,BLINQ,1.1.1,Tony890z,2013-12-10,1,no access,since week I am waiting for the access code . despite phenomenal chance an access code it .down is not recommended !,1,0,0,0,-1
88,BLINQ,1.1.1,Dhjklm,2013-12-10,1,copy Tinder,a really bad copy of Tinder .,0,0,0,0,-1
89,BLINQ,1.1.1,Jaene-schwoerts,2013-12-07,5,Awesome App - Great selection of people,I love the app  the selection process gives you access to a great bunch of fun and happy people. One does not waste time weeding through mediocre contact requests.,1,0,0,0,1
90,BLINQ,1.1.1,Icke121212,2013-12-04,1,After a week of no activation,thereby quickly you lose the desire to use this app .,1,0,0,0,-1
92,BLINQ,1.1.1,Marlis B,2013-11-29,5,real awesome!,Really Cool App,0,0,0,0,1
93,BLINQ,1.1.1,Lubinie,2013-11-29,5,Top!,Super App! Works flawlessly! I can only recommend .,0,0,0,0,1
94,BLINQ,1.1.1,Sgt Payne,2013-11-28,5,Cool app,very fresh design and super easy to use. And the chicks are great cinema ,1,0,0,0,1
95,BLINQ,1.1.1,Alex Zimmermann,2013-11-28,5,Cool app with cool people,there am impressed that you can decide as existing users who will be included in the community. So theres finally an app decent people!,1,0,0,0,1
96,BLINQ,1.1.1,Icke121212,2013-11-28,1,After a week of no activation,a result,1,0,0,0,-1
98,BLINQ,1.1.1,Emanuel Steiner,2013-11-27,5,Finally good people,"Did Although have to wait seven days on my cut off, but was worth it. Here hats people with style not apps like many other.",1,0,0,0,1
100,BLINQ,1.1.1,Mauseke,2013-11-25,1,Facebook?!?!?,Is nowadays nothing without Facebook,0,0,0,0,-1
102,BLINQ,1.1.1,Jo Mhh,2013-11-25,1,Jo MHH,Since I am waiting for a code that is now deleted too long.,0,0,0,0,-1
103,BLINQ,1.1.1,marlon235,2013-11-21,5,great app,"Great app with beautiful design! Had to wait a little longer though to be adopted, (two weeks) (have read that the current user you evaluate first must) which ensures the very attractive pool users arise was well worth it.",0,0,1,0,1
104,BLINQ,1.1.1,Leq,2013-11-20,1,Neenee !!,Facebook is needed .Sorry but where does the way that it just goes with the Unfortunately No Delete,1,0,0,0,1
105,BLINQ,1.1.1,368372173,2013-11-18,1,Only with Facebook,really bad the App.two minutes deleted immediately.,0,0,0,0,1
106,BLINQ,1.1,marlon235,2013-11-18,5,great app,"Great app with beautiful design! Had to wait a little longer though to be adopted, (2 weeks) (the need to have read the current user you evaluate first) which is certainly very attractive users arise pool  was well worth it.",0,0,0,0,1
107,BLINQ,1.1.1,Space_91,2013-11-17,1,useless ...,waiting for securely over four weeks on an access code .Despite phenomenal,0,0,0,0,-1
108,BLINQ,1.1,daaaaviiiid,2013-11-07,5,made it very cool with Hi and Bye,Cool concept,0,0,0,0,1
109,BLINQ,1.1,Seb3625,2013-11-03,1,copy,one one copy of the Tinder . App Holt the original!,0,0,0,0,-1
111,BLINQ,1.0.2,__ ro,2013-10-10,1,angry,well guess that this is a fraud app. Get for weeks not any access and support to respond despite repeated requests,0,0,0,0,-1
112,BLINQ,1.0.2,marlon235,2013-09-23,5,great app,great app with beautiful design! Had to wait a little longer to be accepted but it was well worth it.,0,0,1,0,1
113,BLINQ,1.0.2,Huuuuuiiiiii,2013-09-22,1,Wait ...,waiting for more than two weeks for the activation. If still nothing happens .hope this will change soon .,1,0,0,0,-1
114,BLINQ,1.0.2,Juuuuiuuuu,2013-09-22,1,bullshit,probably the developer wants their data. Could ,0,0,0,0,-1
115,BLINQ,1.0.2,daaaaviiiid,2013-09-20,5,cool concept,made it very cool with Hi and Bye,0,0,0,0,1
116,BLINQ,1.0.2,moooonandstars,2013-09-20,5,Great App,the wait was worth it. Very well done app!,0,0,0,0,1
117,BLINQ,1.0.2,Hugoprimero,2013-09-20,5,Super App,"Cool people, cool design. Really fun!",1,0,0,0,1
118,BLINQ,1.0.2,Laurent Wildi,2013-09-17,1,does not work!,Silk account for over a week and still does not work! app!,1,0,0,0,-1
119,BLINQ,1.0.1,Dongioabcdefg,2013-09-16,1,goes much too long,"Its far too long until the access code is, wait for more than a week ",1,0,0,0,-1
120,BLINQ,1.0.1,f4stl4ne,2013-09-16,2,wait ...,"wait for a week despite receiving assessment phenomenal in any reaction .idea is great, but so the curiosity goes fast. what a shame.",1,0,0,0,-1
121,BLINQ,1.0.1,Wave Launcher,2013-09-16,1,to long wait,"In spite of a phenomenal  review my profile, I was not taken even after more than a week in the community Property here. just read in the reviews that you have to wait two weeks. Too late, I have my account deleted already.",1,0,0,0,-1
122,BLINQ,1.0.1,Disasta1875,2013-09-14,1,unlock,despite the indication I had phenomenal. Does unlocking more than two weeks. Its too long.,1,0,0,0,-1
125,BLINQ,1.0.1,OrlandoTemperli,2013-09-13,5,Cool app,"Practical, great design, nice people! What more could you want?",1,0,0,0,1
126,BLINQ,1.0.1,Simse13,2013-09-13,5,Entertaining Acquaintance app,I already met some nice people and the hi  and bye  is a fun pastime for Download the road. Definitely.,1,0,0,0,1
127,BLINQ,1.0.1,Doreg1,2013-09-13,5,Top!,Very cool people on the app and top design!,1,0,0,0,1
128,BLINQ,1,Fabio Relling,2013-09-12,5,...,app crashes at the moment to start .,0,0,0,1,1
129,BLINQ,1,f4stl4ne,2013-09-11,2,waiting ...,"wait for a week despite receiving assessment phenomenal in any reaction .idea is great, but so the curiosity goes fast. Pity.",1,0,0,0,-1
130,BLINQ,1,iPatMei,2013-09-10,1,"Waiting on since 3D on an access code. If the starting problems, or is it worth to delete the App identical resist ....?",start trouble,1,0,0,0,-1
131,BLINQ,1,Nene ....,2013-09-10,1,very bad,"This app is pure and draws just once all the data from the phone Facebook activation, location services not the point .no download, a waste of time .",1,0,0,0,-1
132,BLINQ,1,Indonesian specialties,2013-09-08,1,They Should call it Facebook blinq cause it works only with a FB account. Useless to me.,Facebook only,1,0,0,0,-1
133,BLINQ,1,GaMeR_95,2013-09-07,1,ðŸ‘ðŸ‘Ž,you have to wait for an access code and it works only on Facebook ,0,0,0,0,-1
134,BLINQ,1,Cyrill1,2013-09-07,4,Cool design,"The first impression is ever,The input mask should be expanded, if you start a second line.",1,0,1,0,-1
136,BLINQ,1,Fabiola822,2013-08-25,5,just great,this app makes in day there.,0,0,0,0,1
137,BLINQ,1,Lholderiii,2013-08-24,5,Great way to meet new people.,Just had my firt date in two years !,0,0,0,0,1
138,BLINQ,1,slussi,2013-08-24,5,I love this app! Sleek interface and just good fun! A must have!,Great app,1,0,0,0,1
139,BLINQ,1,mangoo88,2013-08-23,5,class!,Find the app is really fun! The link with Facebook I think is good! Design also great I like!,1,0,0,0,1
140,BLINQ,1,c0caine,2013-08-23,5,Awesome app to meet interesting people!,Just great!,0,0,0,0,1
141,BLINQ,1,Marlis B,2013-08-22,5,Really Cool App,real awesome!,0,0,0,0,1
142,BLINQ,1,Adrian Friedli,2013-08-21,5,Well done,"After many apps in this kind, this app has a refreshing new, bravo!",0,0,0,0,1
145,BLINQ,42,,2014-11-28T22:50:39Z,3,Soziale Relevance,I wonder what Facebook social relevance has to do only because I am less active in FB,0,1,0,0,0
149,BLINQ,42,,2014-12-02T22:05:55Z,1,,can not be the people to their social facebook status are included as is clearly,0,0,1,0,-1
151,BLINQ,,,2014-12-07T09:48:19Z,3,,Crashing all five min,0,0,0,1,0
153,BLINQ,42,,2014-12-07T14:11:10Z,1,Scheisse,The app now has net week and only one match .and sorry so bad I look also net .oh yes,0,0,0,0,-1
154,BLINQ,42,,2014-12-08T20:16:21Z,2,Problem Search with the people,appears to be designed quite nice. However,1,0,0,1,-1
155,BLINQ,42,,2014-12-09T09:17:03Z,1,Extrem frivolous,I was not included due to a few Facebook friends. What a impudence now you will be measured on number of friends and mainstream advertising still makes for such a shit App.,1,0,0,0,-1
162,BLINQ,46,,2014-12-17T21:31:21Z,5,Awesome app,Really good experience and simple interface.,1,0,0,0,1
163,BLINQ,46,,2014-12-18T10:19:39Z,1,Facebook,when my Facebook account would still active if the keyboard is not popping up,1,0,1,1,-1
165,BLINQ,,,2014-12-20T08:51:13Z,5,Good,Solid,0,0,0,0,1
169,BLINQ,46,,2014-12-26T19:25:37Z,3,Help,Whats The Access code?,0,1,0,0,0
171,BLINQ,46,,2014-12-29T08:49:50Z,1,Help,Where I can find Access code?,0,1,0,0,0
174,BLINQ,46,,2015-01-04T15:28:28Z,2,Too Many app crashes,APP never comes up after standby or background tasks,0,0,0,1,-1
179,BLINQ,46,,2015-01-12T08:40:17Z,1,Keeps crashing,It just keeps crashing and not to mention did the whole access code is complete bull shit. What are you making,0,0,0,1,-1
183,BLINQ,47,,2015-01-16T16:29:14Z,1,Never Accepted,I let you almost one month to accept me and nothing happened. Certainly Because I do not want to invite my friends. This app is to meet new people not the people did already knew .Anyway I uninstall,1,0,0,0,-1
184,BLINQ,47,,2015-01-16T19:56:39Z,2,sturzt off,the app keeps crashing,0,0,0,1,-1
187,BLINQ,47,,2015-01-23T15:16:26Z,1,No answer,I subscribed one month ago and no answer! It is not serious ,0,0,0,0,-1
188,BLINQ,47,,2015-01-25T18:24:48Z,1,,I do not have a Facebook absolute garbage,0,0,1,0,-1
192,BLINQ,47,,2015-02-02T15:23:23Z,2,Does not work well on Android,I have to manually close and restart the app everytime I want to use it. Sometimes it is so slow at loading content or messages did I rather quit. So,0,0,0,1,1
194,BLINQ,47,,2015-02-09T21:23:11Z,1,Echtheit . by number FB friends ???,Three hundred Facebook friends do not seem to be enough to act as a socially and genuinely on request by mail ( two weeks after installing the app) was the answer: Sorry sorry we can not change the system that comunity decides who is included .(in my employees was the .Profile activated after one minute six hundred plus Facebook friends appear to be well acceptable),1,0,1,0,-1
200,BLINQ,,,2015-02-17T10:33:32Z,5,Ok,Good,0,0,0,0,1
201,BLINQ,47,,2015-02-20T17:41:40Z,4,"""Gutes Concept",still some bugs,0,0,0,1,1
204,BLINQ,47,,2015-03-03T17:51:33Z,1,Keine Activation,waiting since two weeks on the activation of my account,1,0,0,0,-1
205,BLINQ,47,,2015-03-05T23:17:28Z,3,...,My match disappeared right after he sent me a message and it takes so long time to load once I opened this app,0,0,0,1,0
206,BLINQ,47,,2015-03-06T05:49:23Z,4,No code,I can not get to Access Code. If you give me one I will rate 5 stars,1,1,0,0,1
210,BLINQ,47,,2015-03-07T15:28:21Z,1,,Absolute shit app is only for people not stand the thought as to privacy best ,0,0,0,0,-1
211,BLINQ,47,,2015-03-08T22:58:57Z,4,Cool,Interestingly fun,0,0,0,0,1
212,BLINQ,47,,2015-03-10T12:58:01Z,1,Keine Activation,I am not enabled,0,0,0,0,-1
215,BLINQ,,,2015-03-14T09:27:31Z,1,Keine Activation,Have now also waiting for weeks,1,0,0,0,-1
219,BLINQ,51,,2015-02-09T21:23:11Z,1,Echtheit by number FB friends ???,two months since I have the app,0,1,0,0,-1
224,BLINQ,,,2015-03-22T19:43:45Z,1,,No Access Code. They have to change the fact that users give random people give new users access code,1,0,0,0,-1
225,BLINQ,,,2015-03-23T05:28:01Z,5,Dating,Great app,0,0,0,0,1
237,BLINQ,51,,2015-04-04T10:48:08Z,3,was ? if no fb account,not possible to log in without a facebook account,0,1,1,0,0
241,BLINQ,51,,2015-04-07T18:52:42Z,3,Soviel Stars like hit,soon comes the fourth and fifth star added just waiting . Why do I have on the iPhone and on the instaConnect not Android? From time to time would be an undo button desirable bask the app is okay. Has at least no or few fake profile thanks verifying what good is as it is,0,1,1,1,0
248,BLINQ,51,,2015-04-18T00:06:11Z,3,Good,Good luck with the latest,0,0,0,0,0
252,BLINQ,,,2015-04-21T09:35:16Z,1,Reply,No One reply,0,0,0,0,-1
254,BLINQ,,,2015-04-24T02:35:43Z,1,,only works with Facebook,0,0,0,0,-1
259,BLINQ,51,,2015-04-27T14:26:58Z,1,Anmeldung only with facebook - mess,am a convinced Facebook . Unbelievable that it should be impossible without a profile there to register with blinq. Authenticity of the profile can be secured in addition also different. Other apps can also,1,0,1,0,-1
265,BLINQ,51,,2015-05-01T08:15:08Z,2,Access code,I would have loved to try,0,1,0,0,-1
269,BLINQ,,,2015-05-03T22:25:49Z,5,Hey guys,Hey man,0,0,0,0,1
273,BLINQ,51,,2015-05-12T18:28:52Z,2,Access code,how to get the access code? Without it I cant even browse for people.,0,1,0,0,-1
275,BLINQ,,,2015-05-14T05:08:27Z,5,BLINDQ,OK,0,0,0,0,1
276,BLINQ,51,,2015-05-15T09:13:34Z,3,tolle Idea; poor implementation on Android,why are still simple iOS apps one to one on Android?,0,1,0,0,0
277,BLINQ,51,,2015-05-18T05:00:58Z,1,Keine Connection possible despite good Reier Internet connection the app suddenly stopped working. She hangs on the start screen and the wheel rotates with relish his rounds. Unfortunately,nothing has brought even to reinstall the app. Please order,0,0,1,1,-1
278,BLINQ,,,2015-05-18T10:27:38Z,4,Cool,Nice,0,0,0,0,1
279,BLINQ,51,,2015-05-21T05:02:35Z,2,"""Schade",Suddenly I do not come more purely ,0,0,0,0,-1
285,BLINQ,62,,2015-06-04T19:18:25Z,1,Soziale Relevance,Been in facebook regularly active but here I was not taken for months! App unusable,1,0,0,0,-1
287,BLINQ,62,,2015-04-07T18:52:42Z,2,Soviel Stars like hit,You go to a concert with fifty,0,0,0,0,-1
288,BLINQ,62,,2015-06-11T10:16:08Z,1,Aufnahme wannn?,for more than one week,0,0,0,0,0
290,BLINQ,,,2015-06-15T19:43:59Z,5,,Bravo,0,0,0,0,1
292,BLINQ,62,,2015-06-12T10:53:27Z,1,DO NOT INSTALL,This app is pure horseshit and a waste of time and energy. You install it expecting to be dating right away,0,0,0,0,-1
298,BLINQ,62,,2015-06-29T20:45:51Z,1,Die Community,You read hardly a contribution from people who were enrolled in the alleged community.For a month,1,0,0,0,-1
299,BLINQ,62,,2015-06-29T21:00:52Z,1,,but here is a joke! It is all or even,0,0,0,0,-1
300,Doodle Pairs,2.0.1,Jmbrowne,2014-12-04,1,Painfully slow,This puzzle would be enjoyable if it was not so painfully slow.,1,0,0,1,-1
301,Doodle Pairs,1.5,Theabcsofdeath,2014-08-10,5,Doodle pairs,Love it,0,0,0,0,1
302,Doodle Pairs,1.5,Denimflower,2014-01-16,5,Awesome memory game!!!!,"Love this game, its just hard enough to keep your mind working.  I have played this game everyday since I downloaded it.",0,0,0,0,1
303,Doodle Pairs,1.5,Pink and more pink,2013-03-19,5,Great Memory Game,I love love love this game! It keeps you on your toes and is never boring.,0,0,0,0,1
304,Doodle Pairs,1.5,55104K,2012-06-17,5,Great fun...,Great fun for all ages!,0,0,0,0,1
305,Doodle Pairs,1.5,Cristina Gonzalez-Gellineau,2012-02-01,5,Best matching game yet,Fun,0,0,0,0,1
306,Doodle Pairs,1.5,Filigio,2012-01-28,4,Walkinby,Great game to sharpen any age levels memory skills.,0,0,0,0,1
307,Doodle Pairs,1.5,Teacher K-12 Gifted,2012-01-17,1,Distracting ads,"Used to be an excellent game, but ads ruin the free version .",0,0,1,0,-1
308,Doodle Pairs,1.5,Myladybug47,2011-12-26,4,Love it!!!,Its a fun game to pass the time away and it also makes you think and remember things!,0,0,0,0,1
309,Doodle Pairs,1.5,FlapsMom,2011-12-20,4,Kathy,Fun game.addictive!,0,0,0,0,1
310,Doodle Pairs,1.5,Puzllovr,2011-10-28,5,Love it!,I love this game! I spend way too much time playing it!,0,0,0,0,1
311,Doodle Pairs,1.3,spyderwebspinner,2011-10-16,5,Fun game,This is one of my favorite games!,0,0,0,0,1
312,Doodle Pairs,1.3,NotAGamer!,2011-10-04,5,Cute doodles!,Love this game.  It sharpens the brain and its fun to play because of the great doodles!,1,0,0,0,1
313,Doodle Pairs,1.2,Takini72,2011-08-07,4,Cool classic fun!,"Just as fun as those little cards, without the mess!",0,0,0,0,1
314,Doodle Pairs,1.2,Keinalem,2011-08-04,4,Great Game,Fun and just hard enough,0,0,0,0,1
315,Doodle Pairs,1.5,Peter Coombe,2014-10-01,1,iOS 8,Does not work with iOS eight,0,0,1,1,-1
316,Doodle Pairs,1.5,Gadato,2014-09-23,5,Wow,"Really enjoyed it till IOS8, cant get it to load properly now.",0,0,0,1,1
317,Doodle Pairs,1.5,Sdwales,2013-09-26,5,Great app,Really enjoyable app and great for the mind,0,0,0,0,1
318,Doodle Pairs,1.5,Trebor woodeast,2013-08-08,5,Jojodyanna,Brain work out find it therapeutic!,0,0,0,0,1
319,Doodle Pairs,1.5,Rebeccy81,2013-08-07,5,"Simple, good fun, does what it says on the tin :)","Good fun, what I was looking for",1,0,0,0,1
320,Doodle Pairs,1.5,Radman12345!,2013-06-11,5,Nice app,Excellent,0,0,0,0,1
321,Doodle Pairs,1.5,Dadster69,2013-05-11,4,Pairs,Its a pair game you cant really go wrong??,0,0,0,0,1
322,Doodle Pairs,1.5,Trebor woodeast,2013-05-06,5,Jojodyanna,Keeps my brain going,0,0,0,0,1
323,Doodle Pairs,1.5,Sana-amaani,2013-03-06,5,Miss,Love this game .Great for brain training!,0,0,0,0,1
